video_file,testset_id,model,annotator,physical_plausibility_1_4,description_of_issue,physics_category,action_completed,observability,hidden_property_followed_1_4
007_unitree_g1dex1_wipe_table_ep0.mp4,7,Wan2.2,Isaiah,3,Left arm moves over spill and it disappears without a cause.,"Causality, Fluid",no,observable,
008_unitree_g1dex1_wipe_table_ep100.mp4,8,Wan2.2,Jiqing,1,"The cloth moves without being touched by the robot's hand, the color of the cloth changes, the cloth deforms unnaturally.","Contact, Deformation, Momentum",yes,observable,
009_unitree_g1dex1_wipe_table_ep199.mp4,9,Wan2.2,Xinyuan,1,cloth suddenly showed up on the left hand; the original cloth deformed unaturally,"Causality, Collision, Friction",yes,observable,
010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,10,Wan2.2,Som,4,,,yes,observable,
011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,11,Wan2.2,Aditya,2,The syringe appeared out of thin air and the water also didn't move when syringe was placed in it.,"Fluid, Contact",no,observable,
012_unitree_g1dex1_syringe_water_transfer_ep1033.mp4,12,Wan2.2,Isaiah,1,Syringe pops into existence out of nowhere. Cup liquid changes color and seems to fill with unknown objects.,"Causality, Deformation",no,observable,
014_unitree_g1edu_u3_pour_drink_ep648.mp4,14,Wan2.2,Jiqing,2,Another cup appears out of nowhere.,Deformation,yes,observable,
015_unitree_g1edu_u3_pour_drink_ep1297.mp4,15,Wan2.2,Xinyuan,1,water didn't come put from faucet. first clear water then orange juice.,"Causality, Collision, Contact, Fluid",no,observable,
016_ai2_alphabot_2_pour_water_ep0.mp4,16,Wan2.2,Som,1,bottle floats,"Causality, Gravity, Momentum",no,observable,
017_ai2_alphabot_2_shake_bottle_ep0.mp4,17,Wan2.2,Aditya,2,The robot was not picking it from the gripper and there was significant gap between the flask and the gripper.,Contact,no,observable,
018_ai2_alphabot_2_shake_bottle_ep393.mp4,18,Wan2.2,Isaiah,3,The flask moves back without being touched.,"Causality, Momentum",no,observable,
019_agibot_task410_water_pouring_ep0.mp4,19,Wan2.2,Jiqing,3,The tea color becomes unnaturally much darker.,Fluid,yes,observable,
021_aloha_mobile_wash_pan_ep0.mp4,21,Wan2.2,Xinyuan,1,faucet shape changed; water flow changed for no reason,"Fluid, Deformation, Causality",no,observable,
022_aloha_mobile_wipe_wine_ep0.mp4,22,Wan2.2,Som,1,cloth duplicated,Causality,no,observable,
025_humanoid_everyday_fold_towel_ep4838.mp4,25,Wan2.2,Aditya,3,The deformation appears on the cloth before the contact.,"Deformation, Contact",no,observable,
026_humanoid_everyday_fold_towel_ep4839.mp4,26,Wan2.2,Isaiah,1,Blue towel appears out of nowhere. Towel moves and folds by itself.,"Momentum, Causality, Contact",yes,observable,
027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,27,Wan2.2,Jiqing,2,The ball deforms and moves unnaturally.,"Deformation, Momentum, Contact",yes,observable,
028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,28,Wan2.2,Xinyuan,3,sponge moved unnaturally,"Gravity, Friction",no,observable,
029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,29,Wan2.2,Som,4,,,yes,observable,
