id,file,dataset,repo,task,view,camera_key,method,width,height,fps,frames,mb,deviation
7,007_unitree_g1dex1_wipe_table_ep0.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Wipe_Table,Wipe the water off the table with a rag.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,370,2.51,
8,008_unitree_g1dex1_wipe_table_ep100.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Wipe_Table,Wipe the water off the table with a rag.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,374,2.76,
9,009_unitree_g1dex1_wipe_table_ep199.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Wipe_Table,Wipe the water off the table with a rag.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,423,3.06,
10,010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_SyringeWaterTransfer,Syringe water transfer,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,661,7.73,
11,011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_SyringeWaterTransfer,Syringe water transfer,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,508,4.0,
12,012_unitree_g1dex1_syringe_water_transfer_ep1033.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_SyringeWaterTransfer,Syringe water transfer,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,390,3.14,
14,014_unitree_g1edu_u3_pour_drink_ep648.mp4,RoboCOIN,RoboCOIN/Unitree_G1edu_u3_pour_drink,"Grasp the cup under the faucet to collect the drink, then remove the cup.",Egocentric,observation.images.cam_high_rgb,direct_mp4,640,480,30.0,721,3.0,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
15,015_unitree_g1edu_u3_pour_drink_ep1297.mp4,RoboCOIN,RoboCOIN/Unitree_G1edu_u3_pour_drink,"Grasp the cup under the faucet to collect the drink, then remove the cup.",Egocentric,observation.images.cam_high_rgb,direct_mp4,640,480,30.0,701,3.0,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
16,016_ai2_alphabot_2_pour_water_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_pour_water,Grasp the thermos with one hand and pour water into the cup lid.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,1021,3.03,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
17,017_ai2_alphabot_2_shake_bottle_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_shake_bottle,"Grasp the erlenmeyer flask, shake it three times, then place it back.",Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,876,4.68,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
18,018_ai2_alphabot_2_shake_bottle_ep393.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_shake_bottle,"Grasp the erlenmeyer flask, shake it three times, then place it back.",Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,826,5.07,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
19,019_agibot_task410_water_pouring_ep0.mp4,AgiBot World Alpha,weijian-sun/agibotworld-lerobot,Water Pouring in Restaurant - teapot with colored tea into an empty cup,Egocentric,observation.images.top_head,direct_mp4,640,480,30.0,813,3.83,
21,021_aloha_mobile_wash_pan_ep0.mp4,Mobile ALOHA,lerobot/aloha_mobile_wash_pan,"Pick up the pan, rinse it in the sink and then place it in the drying rack.",Wrist / overhead,,,640,480,50.0,1100,4.79,
22,022_aloha_mobile_wipe_wine_ep0.mp4,Mobile ALOHA,lerobot/aloha_mobile_wipe_wine,Pick up the wet cloth and clean the spilled wine on the table.,Wrist / overhead,,,640,480,50.0,1300,5.64,
25,025_humanoid_everyday_fold_towel_ep4838.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,deformable/fold_towel,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,377,1.01,
26,026_humanoid_everyday_fold_towel_ep4839.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,deformable/fold_towel,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,341,0.93,
27,027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,deformable/squeeze_a_ball,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,347,0.5,
28,028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,deformable/squeeze_a_toy,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,278,0.4,
29,029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,deformable/compress_a_plastic_bag,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,510,1.07,
30,030_unitree_g1dex1_fold_towel_ep0.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Fold_Towel,Fold the towel and set it aside.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,1358,10.07,
31,031_unitree_g1dex1_fold_towel_ep199.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Fold_Towel,Fold the towel and set it aside.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,1463,11.34,
32,032_gr00t_gr1_fold_cloth_long_ep0.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,gr1_unified.fold_cloth_long_robot,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,376,9.02,"Manifest says subset 'Inlab_Eval'; actual repo folder is 'In-lab_Eval' (hyphen). episode_index 0 valid (258 eps, 0..257)."
33,033_gr00t_gr1_fold_cloth_long_ep257.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,gr1_unified.fold_cloth_long_robot,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,1445,33.49,Manifest subset 'Inlab_Eval' -> actual 'In-lab_Eval'. episode_index 257 valid; it is the LAST episode (total_episodes=258).
34,034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,crumple_flatten_paper,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,2213,57.72,"Manifest selector was task-name + nth=1, no episode_index. Resolved via EgoDex_Eval/meta/episodes.jsonl: task 'locked waist: crumple_flatten_paper' -> episode_index 56 (exactly one episode, as the manifest note predicted)."
35,035_gr00t_egodex_braid_unbraid_ep63.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,braid_unbraid,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,4452,99.98,"Manifest selector was task-name + nth=1, no episode_index. Resolved via EgoDex_Eval/meta/episodes.jsonl: task 'locked waist: braid_unbraid' -> episode_index 63 (exactly one episode). Largest file in group at 100.0 MB / 4452 frames (~3.7 min)."
36,036_agibot_task362_fold_shorts_ep0.mp4,AgiBot World Alpha,weijian-sun/agibotworld-lerobot,Fold shorts (laid out on the bed),Egocentric,observation.images.top_head,direct_mp4,640,480,30.0,1520,14.72,
39,039_unitree_g1dex1_zip_up_ep0.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_ZipUp,Zip up,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,513,3.68,
41,041_unitree_g1dex3_block_stacking_ep0.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_BlockStacking_Dataset,Stack the three cubic blocks on the black tape.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,1173,4.21,
42,042_unitree_g1dex3_block_stacking_ep150.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_BlockStacking_Dataset,Stack the three cubic blocks on the black tape.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,846,3.09,
43,043_unitree_g1dex3_block_stacking_ep300.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_BlockStacking_Dataset,Stack the three cubic blocks on the black tape.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,791,3.03,
44,044_unitree_g1dex1_stack_block_ep0.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Stack_Block,"Stack the red, green, and yellow blocks.",Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,490,3.9,
45,045_unitree_g1dex1_stack_block_ep199.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Stack_Block,"Stack the red, green, and yellow blocks.",Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,740,5.73,
46,046_humanoid_everyday_stack_two_cubes_g1_ep4358.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/stack_two_cubes_g1,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,447,0.52,
47,047_humanoid_everyday_unstack_two_cubes_g1_ep4518.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/unstack_two_cubes_g1,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,317,0.55,
48,048_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8398.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Tool_use/pick_the_hammer_and_hit_desk,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,422,0.71,
49,049_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8399.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Tool_use/pick_the_hammer_and_hit_desk,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,426,0.69,
50,050_humanoid_everyday_push_duck_g1_ep3612.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/push_duck_g1,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,574,0.68,
51,051_ai2_alphabot_2_clink_glasses_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_clink_glasses,Pick up one cup with a gripper and tap it against the other cup.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,1069,5.51,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
52,052_ai2_alphabot_2_clink_glasses_ep392.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_clink_glasses,Pick up one cup with a gripper and tap it against the other cup.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,883,3.83,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
53,053_ai2_alphabot_2_stack_cups_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_stack_cups,Stack the three plastic cups sequentially using one hand.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,841,3.13,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
54,054_ai2_alphabot_2_stack_blocks_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_stack_blocks,Pick the topmost block from the stack and place it on the table.,Egocentric,observation.images.cam_front_head_rgb,direct_mp4,640,480,30.0,612,2.87,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
55,055_unitree_g1dex1_paper_cup_stacking_ep0.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_PaperCupStacking,Paper cup stacking,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,543,3.67,
56,056_unitree_g1dex1_stack_bowls_ep0.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_StackBowls,Stack bowls,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,480,2.58,
57,057_gr00t_gr1_pour_items_into_basket_ep0.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,gr1_unified.pour_items_into_basket_robot,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,237,5.56,"Manifest subset 'Inlab_Eval' -> actual 'In-lab_Eval'. episode_index 0 valid (100 eps, 0..99)."
58,058_gr00t_gr1_pour_items_into_basket_ep50.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,gr1_unified.pour_items_into_basket_robot,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,328,7.48,Manifest subset 'Inlab_Eval' -> actual 'In-lab_Eval'. episode_index 50 valid.
59,059_gr00t_gr1_pour_items_into_basket_ep99.mp4,NVIDIA GR00T-Teleop-GR1,nvidia/PhysicalAI-Robotics-GR00T-Teleop-GR1,gr1_unified.pour_items_into_basket_robot,Egocentric,observation.images.ego_view_freq20,direct_mp4,1280,800,20.0,443,10.38,Manifest subset 'Inlab_Eval' -> actual 'In-lab_Eval'. episode_index 99 valid; it is the LAST episode (total_episodes=100).
60,060_unitree_g1dex1_pour_medicine_ep0.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Pour_Medicine,Pour the medicine from the bottle into the box.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,905,7.19,
61,061_unitree_g1dex1_pour_medicine_ep100.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Pour_Medicine,Pour the medicine from the bottle into the box.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,879,7.04,
62,062_unitree_g1dex1_pour_medicine_ep199.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Pour_Medicine,Pour the medicine from the bottle into the box.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,708,5.71,
63,063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/pour_out_some_sunflower_seeds,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,635,0.91,
64,064_humanoid_everyday_pour_out_some_sunflower_seeds_ep3293.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/pour_out_some_sunflower_seeds,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,685,0.99,
66,066_ai2_alphabot_2_pour_mung_beans_ep0.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_pour_mung_beans,Pick up the cup and pour the mung beans from the cup into the bowl.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,956,6.07,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
67,067_ai2_alphabot_2_pour_mung_beans_ep212.mp4,RoboCOIN,RoboCOIN/AI2_Alphabot_2_pour_mung_beans,Pick up the cup and pour the mung beans from the cup into the bowl.,Egocentric,observation.images.cam_front_head_rgb,other,640,480,30.0,864,5.92,"Source video stream is AV1, not H.264; must be transcoded to libx264 (native 30 fps preserved, frame count identical). Verified on id=16."
68,068_dlr_sara_pour_into_mug_ep0.mp4,DLR Sara Pour (OXE),lerobot/dlr_sara_pour,Pour into the mug (two ping-pong balls stand in for liquid),Third-person,observation.images.image,v3_segment_cut,640,480,5.0,200,1.93,"FPS DISCREPANCY: the brief said 480x640 @10fps (the OXE table's documented control frequency), but the LeRobot v3.0 mirror stores this dataset at 5 fps end-to-end and is internally consistent at 5 fps (meta/info.json fps=5; source mp4 stream = 5 fps; concatenated video duration 2594.2 s x 5 fps = 12971 frames = total_frames; episode 0 = 200 frames = 0.0-40.0 s). The RLDS source has no per-step timestamps, so 5 fps is the only rate verifiable from the data. Encoded at the source-native 5 fps. To retime the identical 200 frames to 10 fps instead: ffmpeg -y -i 068_...mp4 -an -vf ""setpts=N/10/TB"" "
70,070_humanoid_everyday_push_the_tape_towards_the_notebook_ep3720.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/push_the_tape_towards_the_notebook,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,259,0.42,
71,071_humanoid_everyday_push_box_screws_left_desk_right_ep3572.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/push_a_box_of_screws_from_the_left_side_of_the_desk_to_the_right_next_to_the_tape,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,301,0.49,
72,072_humanoid_everyday_push_pencil_case_container_ep3680.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Basic/push_the_pencil_case_next_to_the_container,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,311,0.64,
