video_file,testset_id,annotator,physical_plausibility_1_4,description_of_issue,physics_category,action_completed
008_unitree_g1dex1_wipe_table_ep100.mp4,8,A3,1,"The cloth moves without being touched by the robot's hand, the color of the cloth changes, the cloth deforms unnaturally.","Contact, Deformation, Momentum",yes
009_unitree_g1dex1_wipe_table_ep199.mp4,9,A5,1,cloth suddenly showed up on the left hand; the original cloth deformed unaturally,"Causality, Collision, Friction",yes
010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,10,A4,4,,,yes
011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,11,A1,2,The syringe appeared out of thin air and the water also didn't move when syringe was placed in it.,"Fluid, Contact",no
014_unitree_g1edu_u3_pour_drink_ep648.mp4,14,A3,2,Another cup appears out of nowhere.,Deformation,yes
015_unitree_g1edu_u3_pour_drink_ep1297.mp4,15,A5,1,water didn't come put from faucet. first clear water then orange juice.,"Causality, Collision, Contact, Fluid",no
016_ai2_alphabot_2_pour_water_ep0.mp4,16,A4,1,bottle floats,"Causality, Gravity, Momentum",no
017_ai2_alphabot_2_shake_bottle_ep0.mp4,17,A1,2,The robot was not picking it from the gripper and there was significant gap between the flask and the gripper.,Contact,no
019_agibot_task410_water_pouring_ep0.mp4,19,A3,3,The tea color becomes unnaturally much darker.,Fluid,yes
021_aloha_mobile_wash_pan_ep0.mp4,21,A5,1,faucet shape changed; water flow changed for no reason,"Fluid, Deformation, Causality",no
022_aloha_mobile_wipe_wine_ep0.mp4,22,A4,1,cloth duplicated,Causality,no
025_humanoid_everyday_fold_towel_ep4838.mp4,25,A1,3,The deformation appears on the cloth before the contact.,"Deformation, Contact",no
027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,27,A3,2,The ball deforms and moves unnaturally.,"Deformation, Momentum, Contact",yes
028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,28,A5,3,sponge moved unnaturally,"Gravity, Friction",no
029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,29,A4,4,,,yes
030_unitree_g1dex1_fold_towel_ep0.mp4,30,A1,1,A new blue towel appears out of thin air and it picked the towel without tocuhing.,"Causality, Contact",yes
032_gr00t_gr1_fold_cloth_long_ep0.mp4,32,A3,1,"The cloth undergoes highly unrealistic changes in shape, color, and texture.","Contact, Deformation",yes
033_gr00t_gr1_fold_cloth_long_ep257.mp4,33,A5,1,cloth became wide all of a sudden,Deformation,no
034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,34,A4,1,The ball of paper transforms into a complete paper without any folds and some cuts dissappear,Deformation,yes
035_gr00t_egodex_braid_unbraid_ep63.mp4,35,A1,1,The ropes were never picked and another rope appeared out of thin air.,Causality,no
039_unitree_g1dex1_zip_up_ep0.mp4,39,A3,2,The plastic bag deforms before being touched by the robot's hand.,"Contact, Deformation, Momentum",no
041_unitree_g1dex3_block_stacking_ep0.mp4,41,A5,1,lower blocks disappeared when place new blocks on top of them,"Causality, Contact",yes
042_unitree_g1dex3_block_stacking_ep150.mp4,42,A4,1,cube is not in hand and moves up towards the end,"Contact, Causality",no
043_unitree_g1dex3_block_stacking_ep300.mp4,43,A1,1,The robot never picked a block but new blocks appeared in its hand over time.,"Causality, Contact",no
045_unitree_g1dex1_stack_block_ep199.mp4,45,A3,1,"The red block appears to be lifted by an invisible force rather than grasped by the robot's hand, violating gravity. It also deforms unnaturally.","Momentum, Deformation, Contact, Gravity",no
